,Unnamed: 0,Region,Year,Product,Purpose,Time (Hrs./Ac),Labor Cost,Fuel,Lube & Repairs,Material Cost,Custom/Rent,Total Cost,true?
34,34,SOUTHERN SAN JOAQUIN VALLEY (),2016,alfalas,to ESTABLISH ALFALFA (50 Acres),0.07,19.0,0.0,0.0,389.0,322.0,730.0,True
35,35,SOUTHERN SAN JOAQUIN VALLEY (),2016,alfalas,to PRODUCE ALFALFA (50 Acres),0.56,45.0,2.0,1.0,893.0,25.0,966.0,True
37,37,San Diego County,2020,avocados,TO PRODUCE AVOCADOS,3.67,1863.0,18.0,9.0,7706.0,421.0,10018.0,True
39,39,Sierra Nevada Foothill,2020,pastures,TO PRODUCE PASTURE 40 AC,0.0,0.0,0.0,0.0,294.0,115.0,408.0,True
41,41,TILL,Unknown,pastures,TO ESTABLISH PASTURE,0.0,0.0,0.0,0.0,49.0,15.0,64.0,True
42,42,NO-TILL,Unknown,pastures,TO ESTABLISH PASTURE,0.0,0.0,0.0,0.0,114.0,15.0,129.0,True
43,43,Second Year-TILL,Unknown,pastures,FOR FIRST YEAR PRODUCTION-PASTURE,0.0,0.0,0.0,0.0,147.0,13.0,159.0,True
45,45,TILL,Unknown,pastures,TO ESTABLISH PASTURE,0.0,0.0,0.0,0.0,89.0,13.0,103.0,True
46,46,NO-TILL,Unknown,pastures,TO REESTABLISH PASTURE,0.0,0.0,0.0,0.0,47.0,7.0,53.0,True
47,47,Second Year-TILL,Unknown,pastures,FOR FIRST YEAR PRODUCTION-PASTURE,0.0,0.0,0.0,0.0,286.0,61.0,347.0,True
49,49,SACRAMENTO VALLEY,2015,pastures,TO PRODUCE PASTURE 40 AC,0.0,0.0,0.0,0.0,149.0,58.0,206.0,True
51,51,DELTA REGION (San Joaquin & Sacramento Counties),2022,rice,TO PRODUCE RICE,1.7,63.0,80.0,24.0,499.0,36.0,702.0,True
53,53,Table 1. COSTS PER ACRE TO PRODUCE RICE,Unknown,rice,Unknown,0.97,76.0,9.0,5.0,490.0,105.0,686.0,True
55,55,Sacramento Valley French Variety (Dried plums),2022,prunes,TO PRODUCE PRUNES,8.23,375.0,128.0,55.0,1320.0,505.0,2383.0,True
57,57,Southern San Joaquin Valley French Variety (Dried plums),2023,prunes,TO PRODUCE PRUNES,5.78,249.0,42.0,22.0,1279.0,1135.0,2727.0,True
59,59,TABLE 3. COSTS PER ACRE TO PRODUCE ORANGES,Unknown,oranges,Unknown,4.36,482.0,20.0,12.0,1800.0,485.0,2800.0,True
60,60,KLAMATH BASIN- TULELAKE,2023,potatoes,TO PRODUCE POTATOES-CHIPPERS,1.47,303.1,36.17,15.53,1117.18,100.0,1571.98,True
61,61,Klamath Basin-Tulelake,2023,potatoes,TO PRODUCE POTATOES-CHIPPERS,1038.0,1.0,48.0,1.0,15.0,1.0,66.0,True
62,62,Klamath Basin-Tulelake,2023,potatoes,TO PRODUCE POTATOES-FRESH MARKET,1.47,303.1,36.17,15.53,1117.18,100.0,1571.98,True
63,63,Klamath Basin-Tulelake,2023,potatoes,TO PRODUCE POTATOES-FRESH MARKET,1038.0,1.0,48.0,1.0,15.0,1.0,66.0,True
64,64,TABLE 1. COSTS PER ACRE TO PRODUCE AND HARVEST APPLES FOR PROCESSING,Unknown,apples,Unknown,89.76,2206.0,88.0,41.0,1134.0,167.0,3635.0,True
66,66,TABLE 1. COSTS PER ACRE TO PRODUCE AND HARVEST ORGANIC APPLES FOR PROCESSING,Unknown,apples,Unknown,91.06,2234.0,85.0,44.0,894.0,167.0,3425.0,True
68,68,San Joaquin Valley-Open Gable Trellis System,2016,grape-raisins,TO PRODUCE DOV RAISINS,7.21,1240.0,37.0,32.0,473.0,41.0,1823.0,True
69,69,San Joaquin Valley- Overhead Trellis System,2016,grape-raisins,TO PRODUCE DOV RAISINS,7.21,1240.0,37.0,32.0,473.0,41.0,1823.0,True
71,71,SACRAMENTO VALLEY,2016,wheat,TO PRODUCE WHEAT,1.16,54.0,8.0,5.0,80.0,8.0,155.0,True
73,73,San Joaquin Valley - South,2016,plums,TO PRODUCE PLUMS,4.89,1275.0,35.0,24.0,1059.0,177.0,2570.0,True
75,75,SAN JOAQUIN VALLEY,2016,sorghum,TO PRODUCE GRAIN SORGHUM,1.73,54.0,16.0,13.0,438.0,16.0,538.0,True
76,76,SAN JOAQUIN VALLEY,2016,sorghum,TO PRODUCE SORGHUM SILAGE,1.73,54.0,16.0,13.0,418.0,16.0,518.0,True
77,77,Operation Cash and Labor Costs per Acre,Unknown,beans,TO PRODUCE BEANS (SINGLE CROP),1.4,71.0,32.0,12.0,338.0,12.0,465.0,True
78,78,OCT NOV DEC JAN FEB MAR APR MAY JUN JUL AUG SEP Total,Unknown,beans,TO PRODUCE BEANS (SINGLE CROP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
79,79,SACRAMENTO AND NORTHERN SAN JOAQUIN VALLEY,2016,beans,TO PRODUCE LARGE LIMA BEANS,0.91,69.0,12.0,8.0,464.0,32.0,585.0,True
81,81,Operation Cash and Labor Costs per Acre,Unknown,beans,TO PRODUCE BEANS (DOUBLE CROP),1.2,54.0,31.0,12.0,300.0,12.0,408.0,True
82,82,SACRAMENTO AND NORTHERN SAN JOAQUIN VALLEY –,2023,beans,TO PRODUCE BABY LIMA BEANS,1.87,125.22,26.96,14.2,471.51,30.0,667.88,True
84,84,Sacramento & Northern San Joaquin Valleys,2018,beans,TO PRODUCE GARBANZO BEANS (Chickpeas),2.56,116.0,29.0,12.0,147.0,0.0,303.0,True
86,86,Southern San Joaquin Valley,2018,beans,TO PRODUCE GARBANZO BEANS (Chickpeas),2.48,134.0,26.0,11.0,288.0,0.0,458.0,True
88,88,SACRAMENTO VALLEY –,2022,walnuts,TO PRODUCE WALNUTS,4.26,264.0,67.0,25.0,1532.0,308.0,2195.0,True
91,91,SAN JOAQUIN VALLEY NORTH –,2017,walnuts,TO PRODUCE WALNUTS,4.97,162.0,31.0,19.0,1250.0,444.0,1906.0,True
93,93,SAN JOAQUIN VALLEY –,2023,walnuts,TO PRODUCE WALNUTS,1.31,152.0,13.0,4.0,923.0,509.0,1601.0,True
95,95,SAN JOAQUIN VALLEY,2015,corn,TO PRODUCE GRAIN CORN,1.35,128.0,36.0,15.0,725.0,15.0,920.0,True
97,97,SAN JOAQUIN VALLEY,2015,corn,TO PRODUCE SILAGE CORN CONSERVATION TILLAGE,0.72,141.0,7.0,2.0,487.0,36.0,673.0,True
99,99,SACRAMENTO VALLEY AND NORTHERN SAN JOAQUIN VALLEY,2015,corn,TO PRODUCE FIELD CORN,1.42,140.0,30.0,14.0,494.0,14.0,692.0,True
101,101,San Joaquin Valley-North,2024,almonds,TO PRODUCE ALMONDS,4.97,539.0,65.0,28.0,1505.0,928.0,3065.0,True
103,103,San Joaquin Valley-North  (Self-Fertile Variety),2024,almonds,TO PRODUCE ALMONDS,4.97,539.0,65.0,28.0,1505.0,718.0,2855.0,True
105,105,Sacramento Valley,2024,almonds,TO PRODUCE ALMONDS,5.85,501.0,81.0,34.0,1580.0,777.0,2972.0,True
107,107,San Joaquin Valley South,2019,almonds,TO PRODUCE ALMONDS,872.0,525.0,116.0,52.0,2133.0,591.0,3416.0,True
109,109,TABLE 1. COSTS PER ACRE TO PRODUCE AND HARVEST BROCCOLI – BUNCHED 14s,Unknown,broccoli,Unknown,27.83,775.0,456.0,229.0,1765.0,325.0,3550.0,True
110,110,TABLE 3. MONTHLY COSTS PER ACRE TO PRODUCE AND HARVEST BROCCOLI – BUNCHED 14s,Unknown,broccoli,Unknown,772.0,1196.0,494.0,754.0,318.0,15.0,3550.0,True
111,111,TABLE 1. COSTS PER ACRE TO PRODUCE AND HARVEST BROCCOLI – CROWN CUT,Unknown,broccoli,Unknown,27.83,775.0,456.0,229.0,1765.0,325.0,3550.0,True
112,112,TABLE 3. MONTHLY COSTS PER ACRE TO PRODUCE AND HARVEST BROCCOLI – CROWN CUT,Unknown,broccoli,Unknown,772.0,1196.0,494.0,754.0,318.0,15.0,3550.0,True
113,113,SACRAMENTO AND SAN JOAQUIN VALLEY,2017,peaches,TO PRODUCE CLING PEACHES,14.19,2879.0,107.0,76.0,802.0,2.0,3867.0,True
114,114,SACRAMENTO AND SAN JOAQUIN VALLEY,2017,peaches,TO PRODUCE CLING PEACHES,14.69,502.0,113.0,81.0,839.0,2099.0,3634.0,True
116,116,SACRAMENTO VALLEY - Sacramento County,2023,pears,TO PRODUCE PEARS,11.81,584.0,195.0,121.0,2576.0,2175.0,5652.0,True
118,118,"SAN JOAQUIN VALLEY NORTH, Crush District 11 –",2021,grapes-wine,TO PRODUCE WINE GRAPES,7.24,574.0,97.0,40.0,950.0,216.0,1878.0,True
120,120,TABLE 2. COSTS PER ACRE TO PRODUCE WINEGRAPES- CHARDONNAY,Unknown,grapes-wine,Unknown,0.0,1430.0,0.0,0.0,1942.0,10.0,3382.0,True
122,122,TABLE 2. COSTS PER ACRE TO PRODUCE WINEGRAPES- CABERNET SAUVIGNON,Unknown,grapes-wine,Unknown,0.0,1430.0,0.0,0.0,2042.0,10.0,3482.0,True
124,124,North Coast-Napa County,2020,grapes-wine,TO PRODUCE WINEGRAPES,0.0,3629.0,0.0,0.0,3544.0,0.0,7173.0,True
126,126,"SAN JOAQUIN VALLEY NORTH, Crush District 11",2021,grapes-wine,TO PRODUCE WINE GRAPES,7.03,1462.0,96.0,39.0,950.0,6.0,2553.0,True
128,128,"San Joaquin Valley, South - Cabernet Sauvignon",2019,grapes-wine,TO PRODUCE WINEGRAPES,7.01,484.0,92.0,43.0,1033.0,229.0,1882.0,True
130,130,SAN JOAQUIN VALLEY - SOUTH,2015,lemons,TO PRODUCE LEMONS,7.92,304.0,35.0,16.0,1140.0,831.0,2326.0,True
131,131,Ventura County,2020,lemons,TO PRODUCE EUREKA LEMONS,3.08,743.0,25.0,10.0,1969.0,163.0,2909.0,True
134,134,Mid-Season Maturing San Joaquin Valley-south,2018,grapes-table,TO PRODUCE TABLE GRAPES-Scarlet Royal,11.57,6287.0,109.0,63.0,1513.0,44.0,8015.0,True
136,136,Early Maturing San Joaquin Valley-south,2018,grapes-table,TO PRODUCE TABLE GRAPES Flame Seedless,10.63,5227.0,98.0,58.0,1430.0,45.0,6857.0,True
138,138,Late Maturing San Joaquin Valley-south,2018,grapes-table,TO PRODUCE TABLE GRAPES-Autumn King,11.44,7695.0,108.0,62.0,1874.0,44.0,9782.0,True
140,140,Early Maturing San Joaquin Valley-south,2018,grapes-table,TO PRODUCE TABLE GRAPES Sheegene-21,10.17,5217.0,94.0,54.0,1377.0,45.0,6787.0,True
141,141,San Joaquin Valley,2020,pistachios,TO PRODUCE PISTACHIOS,8.96,356.0,57.0,37.0,1737.0,560.0,2747.0,True
143,143,CENTRAL VALLEY,2023,olives,TO PRODUCE TABLE OLIVES,6.32,235.0,57.0,24.0,1251.0,1017.0,2583.0,True
145,145,CENTRAL VALLEY,2023,olives,TO PRODUCE TABLE OLIVES,8.01,360.0,81.0,33.0,1026.0,585.0,2085.0,True
146,146,SACRAMENTO VALLEY –,2016,olive-oil,TO PRODUCE SUPER-HIGH DENSITY OLIVES FOR OLIVE OIL,6.31,173.0,29.0,17.0,251.0,91.0,561.0,True
147,147,TABLE 1. COSTS PER ACRE TO PRODUCE AND HARVEST ORGANIC STRAWBERRIES,Unknown,strawberries,Unknown,464.75,12123.0,737.0,299.0,13426.0,1050.0,27636.0,True
149,149,TABLE 1. COSTS PER ACRE TO PRODUCE AND HARVEST STRAWBERRIES,Unknown,strawberries,Unknown,251.59,6720.0,489.0,190.0,9020.0,5845.0,22264.0,True
151,151,Central Coast,2018,blackberries,TO ESTABLISH AND HARVEST BLACKBERRIES,390.09,6701.0,102.0,61.0,7985.0,5035.0,19884.0,True
153,153,Central Coast,2018,blackberries,TO PRODUCE AND HARVEST BLACKBERRIES: PRODUCTION YEARS 1–4,219.33,3792.0,90.0,55.0,1683.0,520.0,6140.0,True
155,155,"TABLE 2. COSTS PER ACRE TO ESTABLISH, PRODUCE, AND HARVEST BLACKBERRIES – YEAR 1",Unknown,blackberries,Unknown,532.04,13096.0,123.0,56.0,9365.0,5918.0,28557.0,True
157,157,TABLE 5. COSTS PER ACRE TO PRODUCE AND HARVEST BLACKBERRIES – PRODUCTION YEARS 2-5,Unknown,blackberries,Unknown,215.94,5356.0,95.0,45.0,1495.0,607.0,7598.0,True
