,ID,Date,Text,Health and Safety,Environmental Protection,State and Local Regulation,Urgency and Action
10,EPA-HQ-OPP-2024-0562-0065,"Posted by the Environmental Protection Agency on Feb 7, 2025","Dear EPA, As a citizen who is most definitely negatively affected by pesticides and spray such as glyphosate, and have many health issues related to pesticides, I would like to strongly encourage you to reject any restrictions on state and local governments who are protecting their citizens. They are the most likely to do the best job caring for their citizens as they’re able to monitor changes in new products and new research and a more timely efficient pattern and then the government at large is. Please do not take away the rights of the individuals to monitor their own health and safety through their local governments who are more closely , elected and controlled by the individuals.
Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Julie Bannan
Scottsville, VA 24590-4203",True,True,True,True
11,EPA-HQ-OPP-2024-0562-0068,"Posted by the Environmental Protection Agency on Feb 7, 2025","I live in the beautiful Inland NW (inland from the Pacific NW) which includes Eastern WA and Northern Idaho. This area is on the Palouse, extremely fertile land which is farmed extensively (primarily wheat and legumes). There is so much aerial and topical chemical spraying that occurs each growing season. It is very concerning to me as I believe it’s unhealthy.

Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

The health of each of us and of our planet depends on wise choices today and everyday.

Thank you,
Joy Wagner
Plummer, ID 83851-9663",True,True,True,True
12,EPA-HQ-OPP-2024-0562-0080,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please help! As someone who has just had a recurrence of breast cancer, I am VERY CONCERNED about the chemicals in the air and water supply. It’s critical to protect Americans from harmful pesticides!! PLEASE reject any efforts that try to overturn state and local pesticide regulations.

I’m very concerned that blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

Please help, I know you can!! Please, I beg you to take serious action to protect these important local laws.

Thank you,
Lora Koch
Waverly, IA 50677-9258",True,True,True,True
13,EPA-HQ-OPP-2024-0562-0101,"Posted by the Environmental Protection Agency on Feb 7, 2025","I am old enough to remember when I had to ask the the local pool club to refrain form spraying pesticides in the baby area where the babies were crawling around because many would start coughing. Who knows how many of those kids now have reproductive issues or other illness as a result of that practice. As a backyard beekeeper, I was always informed when the local area was being sprayed so I could net my bee hives to prevent extensive mortality and the local people who sprayed were educated about the importance of the timing of their actions for the survival of local bee populations. The United States needs smart, healthy kids to grow up and run and work in.our country. It needs pollinators to protect our food supply. You were elected to serve the PEOPLE, not corporations. Many other countries have outlawed the use of many pesticides that the US still allows. It is so shameful for our country to care more about money than the health of our people.
Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Carol Crawford
Tucson, AZ 85739-1228",True,True,True,True
14,EPA-HQ-OPP-2024-0562-0113,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

We are counting on you to make a difference and protect the voters and their families from these dangerous pesticides. You and your children and your grandchildren all have round up in their bloodstream. Consider that when you vote.

Thank you,
Jacquie Reinauer
Morganton, GA 30560-3548",True,True,True,True
15,EPA-HQ-OPP-2024-0562-0058,"Posted by the Environmental Protection Agency on Feb 7, 2025","Legal precident, generally establishes that where state and federal laws have different requirements, the more stringent law must be followed. The only exception are where a specific power is enumerated in the Constitution, or the Statecs law is unconstitutional.
The power of the EPA to overule States rights is not enumerated in the Constitution.
And since State and local laws are subject to the same burdon of constitutionality, any standing State or local law that has not been chalenged and struck down in a court of law as unconstitutional, cannot be disregarded.
So the EPA has no right to overule State or local statutes regulating pesticide use. Even if the current federal government would prefer to prioritize the profits of multi-national corperations, the democratic rule of law does not allow them to disregard citizens right to self government.

Thank you,
J Talbot
Boston, MA 02131-4515",False,True,True,False
16,EPA-HQ-OPP-2024-0562-0059,"Posted by the Environmental Protection Agency on Feb 7, 2025","I implore you to reject any efforts that try to overturn state and local pesticide regulation. Blocking state and local pesticide laws prevents states from protecting their unique local environments and communities—including vulnerable people like children—from toxic pesticides. It also keeps them from responding to emerging risks and cuts off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

Again, I implore you to take serious action to protect these important local laws and protect Americans from harmful pesticides and chemicals.

Thank you,
kelly walker
North Miami Beach, FL 33160-3121",True,True,True,True
17,EPA-HQ-OPP-2024-0562-0092,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans and our environment from harmful pesticides and herbicides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide and herbicide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides and herbicides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxins will be sprayed at school or near parks.

Furthermore, these chemicals deplete the environment of all the good microbes that are essential for healthy plants and animals, including human consumers of those plants.

Also, by killing these microbes, our soils can no longer be a repository for carbon. Our soil scientists state that if beneficial fungi are in healthy soil - soil that has not been depleted of organisms by pesticides and herbicides and inorganic fertilizers - they could reverse climate change in something like 15 years. But big Ag just wants to make money: killing the micro- and macro-environment and humans in the process is of no concern to the people driving this destruction of the environment - the health of which we depend on for our very lives.

I urge you to take serious action to protect these important local laws.

Thank you,
Patricia Little
Leesburg, GA 31763-5209",True,True,True,True
18,EPA-HQ-OPP-2024-0562-0054,"Posted by the Environmental Protection Agency on Feb 7, 2025",Any substance used in agriculture that has the serious potential to cause human and animal harm should be eliminated without question.,True,False,False,True
19,EPA-HQ-OPP-2024-0562-0066,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

As a parent of two young children, I am concerned for the wellbeing of my own children as well as all other children and future generations. Actions taken today can either have a positive impact on our current and future generations or a negative impact.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks. Please help me protect my children by keeping state and local pesticide laws.

I urge you to take serious action to protect these important local laws.

Thank you,
Allie Warren
Fort Worth, TX 76244-5383",True,True,True,True
20,EPA-HQ-OPP-2024-0562-0075,"Posted by the Environmental Protection Agency on Feb 7, 2025","While pesticides do have a place in protecting some crops in some areas, they are increasingly becoming an issue in the environment, which means they need to be carefully tailored to the particular area of use, and the people and animals that may be affected by them. This is why there are state and local regulations on their use.

Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Ingrid Scott
Castine, ME 04421-3220",True,True,True,True
21,EPA-HQ-OPP-2024-0562-0051,"Posted by the Environmental Protection Agency on Feb 7, 2025","Your mandate is to protect Americans from harmful pesticides. Therefore it is vital that you do not use your position and influence as a National Agency in any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

It is imperative that you to take serious action to protect these important and very legitimate local laws.

Thank you,
mario manzo
Ojo Caliente, NM 87549-9710",True,True,True,True
22,EPA-HQ-OPP-2024-0562-0086,"Posted by the Environmental Protection Agency on Feb 7, 2025","After using RoundUp to keep the grounds of the family home looking pristine, a family member developed Non-Hodgkins Lymphoma. It is thought by the myriad of specialists that he saw that there was a direct relationship between the pesticides he was exposed to (including, but not limited to, glyphosate) and the cancer he developed - a cancer that ultimately took his life. He was a treasured patriarch who valued health and making healthy choices for optimal health, meanwhile, he was unknowingly poisoning his body with a product that is available at every home and garden store. And that's just what the average consumer can buy; it doesn't account for what the agricultural industry has access to, and uses. This should not be the case. Pesticides should not be used on our foods, parks, or golf courses for that matter. The exposure is sickening our citizens, our crops and soil, and potentially damaging the genetics of generations to come.

Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Maureen Barry
Sherman Oaks, CA 91403-4403",True,True,True,True
23,EPA-HQ-OPP-2024-0562-0107,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

This is something that affects ALL of America's children, Democrat and Republican families alike. PLEASE do not allow this to become a political issue. Protect our children!

Please take action to protect these important local laws!

Thank you,
Amy Sack
Saint Paul, MN 55116-2028",True,True,True,True
24,EPA-HQ-OPP-2024-0562-0076,"Posted by the Environmental Protection Agency on Feb 7, 2025","There is no benefit to forcing the various states of this Republic to have uniform laws concerning the use of insecticides, fungicides, etc. In fact such rules only work to take take from each state their responsibility to protect their citizens as they believe to be in the interest of the health and wellbeing of those to whom the state authorities are elected to protect.

Additionally, should some states, e.g. North and South Dakota, wish to abdicate their responsibility for protecting the health and wellbeing of their people and delegate that responsibility to the Federal government, they can do so, but just because they don't care for their population as they ought doesn't mean other states and localities must be forced to be as derelict in carrying out their responsibilities.

Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws and not force the other states to abdicate their responsibilities to protect the health and wellbeing of their people.

Thank you,
Robert Linden
Colorado Springs, CO 80918-4017",True,True,True,True
25,EPA-HQ-OPP-2024-0562-0082,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

It would also eliminate our ability to keep chemicals away from Community Garden areas, choose our agriculture to be more organic and be aware of our special land conditions that exacerbate the movement of dangerous chemicals. Every Town Board in charge of Land Management has the knowledge of their unique environment and should be the folks specifically making any choices regarding herbicides and pesticides in public areas! And any private localities within a Town should have to work with the Town to ensure they are complying with the overall Town focus.

I urge you to take serious action to protect these important local laws.

Thank you,
Judy Asarkof
Carlisle, MA 01741-1821",True,True,True,True
26,EPA-HQ-OPP-2024-0562-0094,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

If you or others would prefer that hundreds of thousands or more Americans are sickened, injured or or eventually killed by pesticides in our air, water and food, then do nothing. If you choose that the American medical system is already overburdened with people made ill by toxins in the environment, that propose or enforce regulations that assist the environment and the citizens. That's your job, by the way.

I urge you to take serious action to protect these important local laws.

Thank you,
Mark McKennon
Catskill, NY 12414-1306",True,True,True,True
27,EPA-HQ-OPP-2024-0562-0107,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

This is something that affects ALL of America's children, Democrat and Republican families alike. PLEASE do not allow this to become a political issue. Protect our children!

Please take action to protect these important local laws!

Thank you,
Amy Sack
Saint Paul, MN 55116-2028",True,True,True,True
28,EPA-HQ-OPP-2024-0562-0072,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please stop this upside-down clown world. The Founding Fathers intent was LOCAL control. LOCAL citizens know best whaat is good for THEIR community. The LORD requires that we be god stewards of HIS Eden. Chemical wastelands are an abomination t the LORD.

I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
William Foster
Port Aransas, TX 78373-4014",True,True,True,True
29,EPA-HQ-OPP-2024-0562-0076,"Posted by the Environmental Protection Agency on Feb 7, 2025","There is no benefit to forcing the various states of this Republic to have uniform laws concerning the use of insecticides, fungicides, etc. In fact such rules only work to take take from each state their responsibility to protect their citizens as they believe to be in the interest of the health and wellbeing of those to whom the state authorities are elected to protect.

Additionally, should some states, e.g. North and South Dakota, wish to abdicate their responsibility for protecting the health and wellbeing of their people and delegate that responsibility to the Federal government, they can do so, but just because they don't care for their population as they ought doesn't mean other states and localities must be forced to be as derelict in carrying out their responsibilities.

Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws and not force the other states to abdicate their responsibilities to protect the health and wellbeing of their people.

Thank you,
Robert Linden
Colorado Springs, CO 80918-4017",True,True,True,True
30,EPA-HQ-OPP-2024-0562-0084,"Posted by the Environmental Protection Agency on Feb 7, 2025","I urge you not to make less pesticide use unlawful. Give communities a choice. The new Trump administration has said in campaigns it wants to give states more rights. Please stick with the campaign promise.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Adaela McLaughlin
Haverhill, MA 01835-7904",True,True,True,True
31,EPA-HQ-OPP-2024-0562-0048,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

The issue of sprays and pesticides is literally on our mind every single day. It should not have to be a luxury to find safe food. Please do everything you can to protect us, and above all, do not let Monsanto decide. That is like letting the fox take care of the chickens!!

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Danelle Klassen
Worthington, MN 56187-2682",True,True,True,True
32,EPA-HQ-OPP-2024-0562-0052,"Posted by the Environmental Protection Agency on Feb 7, 2025","I am very concerned about toxic pesticides like glyphosate and I strongly urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their particular local environments and communities, including vulnerable children, from toxic pesticides. It would also keep them from responding to emerging risks and end notification requirements to parents when toxic pesticides will be sprayed at school or near parks. That is a terrible idea.

I urge you to take serious action to protect these important local laws.

Thank you,
Karen Barrett
Terlingua, TX 79852",True,True,True,True
33,EPA-HQ-OPP-2024-0562-0057,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Pesticide exposure can cause numerous health issues, especially in children, which include leukemia and other neurological issues. Protecting our human health should be a number one priority. This is a drastic overstep of the federal government to tell local legislators what they can and cannot do in their state and erodes local communities for making decisions that are best for their community members. Do not let the MAGA crazies make decisions that will ultimately harm human health because they will not feel the impact the people who are poor and the people that are disenfranchised will bear the burden of this terrible decision.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Rachel Mercado
Chantilly, VA 20152-1809",True,True,True,True
34,EPA-HQ-OPP-2024-0562-0061,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

Pesticides and flame retardants have surpassed lead in causing cognitive decline in children.

In addition to being linked to certain cancers, pesticides containing paraquat and glysophate have been associated with Parkinson's, Alzheimer's and other diseases impacting brain health.

I urge you to take serious action to protect these important local laws.

Thank you,
Ginger Ryan
Little Compton, RI 02837-2116",True,True,True,True
35,EPA-HQ-OPP-2024-0562-0077,"Posted by the Environmental Protection Agency on Feb 7, 2025","Hello!
As there is a lot of pressure to cut spending and relax regulations, please do not pass the cost on to Americans working with and eating these pesticides, to insects and other animals who are inadvertently affected by these pesticides, to the earth and th soil we depend on and share our lives with.
You are the voice for all of these points of intersect, please speak up to protect.
Thank you for your service!

Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
rebecca Hutcheson
Brooklyn, NY 11215-8070",True,True,True,True
36,EPA-HQ-OPP-2024-0562-0085,"Posted by the Environmental Protection Agency on Feb 7, 2025","Overturning any protections goes against what RFK Jr. is trying to do! He’s trying to improve our food supply and safety! Less chemicals in food starts in the fields. If you cut back on these protections than you are harming us all.

Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Lynn Hergenraeder
Folsom, CA 95630-7509",True,True,True,True
37,EPA-HQ-OPP-2024-0562-0097,"Posted by the Environmental Protection Agency on Feb 7, 2025","I am writing to express my strong opposition to any effort by the EPA to overturn local and state regulations aimed at limiting the spread of toxic pesticides. These regulations are essential for protecting public health, the environment, and agricultural sustainability. Many of these pesticides are already banned in other countries due to their well-documented risks, including harm to pollinators, contamination of water sources, and links to serious human health conditions.

By overriding local and state protections, the EPA would be prioritizing the interests of chemical manufacturers over the well-being of communities. States and municipalities have the right to enact stricter safeguards based on the needs of their residents, local ecosystems, and agricultural industries. Weakening these protections not only undermines democratic decision-making but also exposes people-especially vulnerable populations like children and farmworkers-to increased risks.

I urge the EPA to uphold local and state regulations and to take a leadership role in strengthening, rather than weakening, protections against toxic pesticides. Please put the health of people and the environment above corporate interests.

Thank you,
Michael Scharer-Zielinski
Bay Village, OH 44140-2146",True,True,True,True
38,EPA-HQ-OPP-2024-0562-0112,"Posted by the Environmental Protection Agency on Feb 7, 2025","Nothing is more important than good health. Many Americans are working their best to focus on their health. But if their surroundings and the food supply are filled with toxic chemicals, they’re still doomed to living with negative health conditions. Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Amy Senna
Yorba Linda, CA 92886-1617",True,True,True,True
