"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","HAY","HAY, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,270","85.5"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","HAY","HAY, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","68.7"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","HAY","HAY, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2,706","93.5"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRIES, OTHER","BERRIES, OTHER, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRIES, OTHER","BERRIES, OTHER, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRIES, OTHER","BERRIES, OTHER, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRIES, OTHER","BERRIES, OTHER, ORGANIC - PRODUCTION, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRIES, OTHER","BERRIES, OTHER, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRIES, OTHER","BERRIES, OTHER, ORGANIC - SALES, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRIES, OTHER","BERRIES, OTHER, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRIES, OTHER","BERRIES, OTHER, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRIES, OTHER","BERRIES, OTHER, ORGANIC, FRESH MARKET - SALES, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRY TOTALS","BERRY TOTALS, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRY TOTALS","BERRY TOTALS, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRY TOTALS","BERRY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRY TOTALS","BERRY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","762","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRY TOTALS","BERRY TOTALS, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BERRY TOTALS","BERRY TOTALS, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","762","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","FRUIT TOTALS","FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","FRUIT TOTALS","FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","FRUIT TOTALS","FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","FRUIT TOTALS","FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","762","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","FRUIT TOTALS","FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","FRUIT TOTALS","FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","762","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","STRAWBERRIES","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","(H)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","(H)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, ORGANIC - PRODUCTION, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, ORGANIC - SALES, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","(H)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, ORGANIC, FRESH MARKET - SALES, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, ORGANIC, PROCESSING - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","(H)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, ORGANIC, PROCESSING - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, ORGANIC, PROCESSING - SALES, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, OTHER VARIETIES, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, OTHER VARIETIES, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","(H)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, OTHER VARIETIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","(H)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, OTHER VARIETIES, ORGANIC - PRODUCTION, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, OTHER VARIETIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, OTHER VARIETIES, ORGANIC - SALES, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, OTHER VARIETIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","(H)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, OTHER VARIETIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, OTHER VARIETIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, OTHER VARIETIES, ORGANIC, PROCESSING - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","(H)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, OTHER VARIETIES, ORGANIC, PROCESSING - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","APPLES","APPLES, OTHER VARIETIES, ORGANIC, PROCESSING - SALES, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CHICKPEAS","CHICKPEAS, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CHICKPEAS","CHICKPEAS, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CHICKPEAS","CHICKPEAS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CHICKPEAS","CHICKPEAS, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CHICKPEAS","CHICKPEAS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CHICKPEAS","CHICKPEAS, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11","60.8"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11","60.8"
"CENSUS","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
