,Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
169,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,HAY,"HAY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
175,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,LEMONS,"LEMONS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
187,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,ORANGES,"ORANGES, (EXCL NAVEL & VALENCIA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,98.5
196,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,ORANGES,"ORANGES, NAVEL, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,99.6
205,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,ORANGES,"ORANGES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,67.9
214,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,PEARS,"PEARS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
223,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,PECANS,"PECANS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
229,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,TANGERINES,"TANGERINES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
238,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,TREE NUT TOTALS,"TREE NUT TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,956",71.0
242,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,"TREE NUTS, OTHER","TREE NUTS, OTHER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
248,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,WHEAT,"WHEAT, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,408",76.5
254,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,WHEAT,"WHEAT, SPRING, DURUM, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
260,CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,WHEAT,"WHEAT, WINTER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
266,CENSUS,2021,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
272,CENSUS,2021,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"22,701",(H)
276,CENSUS,2021,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),141,71.5
282,CENSUS,2021,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,HAY,"HAY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),141,71.5
288,CENSUS,2021,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,RICE,"RICE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
294,CENSUS,2021,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,SOYBEANS,"SOYBEANS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
300,CENSUS,2021,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,WHEAT,"WHEAT, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
306,CENSUS,2021,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,WHEAT,"WHEAT, WINTER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
312,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"13,372",49.7
318,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, BRAEBURN, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),72,77.0
330,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, CAMEO, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
339,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, CRIPPS PINK, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
348,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FUJI, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),136,32.0
360,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, GALA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),120,47.9
372,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, GOLDEN DELICIOUS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),223,(H)
384,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, GRANNY SMITH, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),154,(H)
396,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, HONEYCRISP, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),36,(H)
408,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,516",49.2
420,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, OTHER VARIETIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),557,51.9
432,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, RED DELICIOUS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
444,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, ROME, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),137,(H)
456,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,APRICOTS,"APRICOTS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),544,81.7
468,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,AVOCADOS,"AVOCADOS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"4,360",24.3
477,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"5,443",32.5
483,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, BLACK, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
489,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),712,(H)
495,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, OTHER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
501,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,"BERRIES, OTHER","BERRIES, OTHER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
513,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BERRY TOTALS,"BERRY TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"11,302",56.5
521,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,510",32.6
533,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"3,216",92.8
545,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, WILD, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
554,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHERRIES,"CHERRIES, SWEET, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),251,77.9
566,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHERRIES,"CHERRIES, TART, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
572,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHICKPEAS,"CHICKPEAS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),339,96.2
578,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CITRUS TOTALS,"CITRUS TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"13,062",15.5
590,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,"CITRUS, OTHER","CITRUS, OTHER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),134,42.1
602,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,COFFEE,"COFFEE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),28,67.5
608,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),847,83.6
614,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,811",46.8
620,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,DATES,"DATES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
626,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"111,241",17.1
630,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),916,(H)
636,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,FIGS,"FIGS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),977,54.2
648,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,FRUIT TOTALS,"FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS & BERRIES), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"19,610",23.4
656,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,FRUIT TOTALS,"FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"30,912",33.2
664,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,"FRUIT, OTHER","FRUIT, OTHER, (EXCL CITRUS & BERRIES), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,907",26.1
676,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,GRAPEFRUIT,"GRAPEFRUIT, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,208",33.3
688,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,GRAPES,"GRAPES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"39,079",14.5
760,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"18,863",37.7
766,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HAY,"HAY, ALFALFA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"33,721",21.4
772,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HAY,"HAY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"52,584",17.9
778,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HAYLAGE,"HAYLAGE, (EXCL ALFALFA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"11,259",35.5
784,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HAYLAGE,"HAYLAGE, ALFALFA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"6,184",84.3
790,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HAYLAGE,"HAYLAGE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"17,443",33.8
796,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HERBS,"HERBS, DRY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),474,(H)
802,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HOPS,"HOPS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),19,82.3
808,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,LEMONS,"LEMONS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"4,960",38.8
820,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MINT,"MINT, ORGANIC, OIL - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
826,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,NECTARINES,"NECTARINES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,160",58.2
838,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,OATS,"OATS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,764",72.8
844,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,OLIVES,"OLIVES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,645",28.1
850,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ORANGES,"ORANGES, (EXCL NAVEL & VALENCIA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),194,41.3
862,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ORANGES,"ORANGES, NAVEL, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,795",30.5
874,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ORANGES,"ORANGES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"4,619",20.6
886,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ORANGES,"ORANGES, VALENCIA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,631",28.6
898,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,PEACHES,"PEACHES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,831",33.6
910,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,PEARS,"PEARS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,531",41.4
922,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,PECANS,"PECANS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
928,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,PISTACHIOS,"PISTACHIOS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
934,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,PLUMS,"PLUMS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),590,38.0
946,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,POPCORN,"POPCORN, ORGANIC, SHELLED - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
952,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,PRUNES,"PRUNES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),794,73.4
958,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RASPBERRIES,"RASPBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,294",82.4
970,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"17,590",50.8
976,CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,SAFFLOWER,"SAFFLOWER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
