,state_ansi,week_ending,begin_code,county_code,county_name,end_code,Value,asd_code,country_name,state_fips_code,location_desc,reference_period_desc,state_alpha,county_ansi,domain_desc,util_practice_desc,congr_district_code,freq_desc,unit_desc,year,region_desc,group_desc,commodity_desc,CV (%),domaincat_desc,short_desc,statisticcat_desc,source_desc,zip_5,class_desc,watershed_code,agg_level_desc,watershed_desc,country_code,state_name,load_time,asd_desc,prodn_practice_desc,sector_desc
11,19,,00,,,00,3,,UNITED STATES,19,IOWA,YEAR,IA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,41.4,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,IOWA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
12,21,,00,,,00,                 (D),,UNITED STATES,21,KENTUCKY,YEAR,KY,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,KENTUCKY,2016-01-31 00:00:00.000,,ORGANIC,CROPS
13,23,,00,,,00,165,,UNITED STATES,23,MAINE,YEAR,ME,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,35.3,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,MAINE,2016-01-31 00:00:00.000,,ORGANIC,CROPS
14,24,,00,,,00,                 (D),,UNITED STATES,24,MARYLAND,YEAR,MD,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,MARYLAND,2016-01-31 00:00:00.000,,ORGANIC,CROPS
15,25,,00,,,00,                 (D),,UNITED STATES,25,MASSACHUSETTS,YEAR,MA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,MASSACHUSETTS,2016-01-31 00:00:00.000,,ORGANIC,CROPS
16,26,,00,,,00,358,,UNITED STATES,26,MICHIGAN,YEAR,MI,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,14.6,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,MICHIGAN,2016-01-31 00:00:00.000,,ORGANIC,CROPS
17,27,,00,,,00,24,,UNITED STATES,27,MINNESOTA,YEAR,MN,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,49.8,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,MINNESOTA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
18,29,,00,,,00,3,,UNITED STATES,29,MISSOURI,YEAR,MO,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,14.6,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,MISSOURI,2016-01-31 00:00:00.000,,ORGANIC,CROPS
19,30,,00,,,00,13,,UNITED STATES,30,MONTANA,YEAR,MT,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,18.8,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,MONTANA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
20,32,,00,,,00,1,,UNITED STATES,32,NEVADA,YEAR,NV,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,18.8,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,NEVADA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
21,35,,00,,,00,38,,UNITED STATES,35,NEW MEXICO,YEAR,NM,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,18.8,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,NEW MEXICO,2016-01-31 00:00:00.000,,ORGANIC,CROPS
22,36,,00,,,00,48,,UNITED STATES,36,NEW YORK,YEAR,NY,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,52.9,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,NEW YORK,2016-01-31 00:00:00.000,,ORGANIC,CROPS
23,38,,00,,,00,22,,UNITED STATES,38,NORTH DAKOTA,YEAR,ND,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,56.1,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,NORTH DAKOTA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
24,39,,00,,,00,                 (D),,UNITED STATES,39,OHIO,YEAR,OH,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,OHIO,2016-01-31 00:00:00.000,,ORGANIC,CROPS
25,40,,00,,,00,                 (D),,UNITED STATES,40,OKLAHOMA,YEAR,OK,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,OKLAHOMA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
26,41,,00,,,00,322,,UNITED STATES,41,OREGON,YEAR,OR,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,21.2,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,OREGON,2016-01-31 00:00:00.000,,ORGANIC,CROPS
27,42,,00,,,00,57,,UNITED STATES,42,PENNSYLVANIA,YEAR,PA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,36.9,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,PENNSYLVANIA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
28,48,,00,,,00,                 (D),,UNITED STATES,48,TEXAS,YEAR,TX,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,TEXAS,2016-01-31 00:00:00.000,,ORGANIC,CROPS
29,49,,00,,,00,38,,UNITED STATES,49,UTAH,YEAR,UT,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,18.8,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,UTAH,2016-01-31 00:00:00.000,,ORGANIC,CROPS
30,50,,00,,,00,7,,UNITED STATES,50,VERMONT,YEAR,VT,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,21,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,VERMONT,2016-01-31 00:00:00.000,,ORGANIC,CROPS
31,51,,00,,,00,24,,UNITED STATES,51,VIRGINIA,YEAR,VA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,27.3,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,VIRGINIA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
32,53,,00,,,00,"11,099",,UNITED STATES,53,WASHINGTON,YEAR,WA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,6.4,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,WASHINGTON,2016-01-31 00:00:00.000,,ORGANIC,CROPS
33,55,,00,,,00,76,,UNITED STATES,55,WISCONSIN,YEAR,WI,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,27.6,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,WISCONSIN,2016-01-31 00:00:00.000,,ORGANIC,CROPS
66,06,,00,,,00,11,,UNITED STATES,06,CALIFORNIA,YEAR,CA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,17.5,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, BRAEBURN, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,BRAEBURN,00000000,STATE,,9000,CALIFORNIA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
67,08,,00,,,00,                 (D),,UNITED STATES,08,COLORADO,YEAR,CO,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, BRAEBURN, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,BRAEBURN,00000000,STATE,,9000,COLORADO,2016-01-31 00:00:00.000,,ORGANIC,CROPS
68,19,,00,,,00,                 (D),,UNITED STATES,19,IOWA,YEAR,IA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, BRAEBURN, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,BRAEBURN,00000000,STATE,,9000,IOWA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
69,24,,00,,,00,                 (D),,UNITED STATES,24,MARYLAND,YEAR,MD,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, BRAEBURN, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,BRAEBURN,00000000,STATE,,9000,MARYLAND,2016-01-31 00:00:00.000,,ORGANIC,CROPS
70,26,,00,,,00,                 (D),,UNITED STATES,26,MICHIGAN,YEAR,MI,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, BRAEBURN, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,BRAEBURN,00000000,STATE,,9000,MICHIGAN,2016-01-31 00:00:00.000,,ORGANIC,CROPS
71,32,,00,,,00,                 (Z),,UNITED STATES,32,NEVADA,YEAR,NV,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,29.2,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, BRAEBURN, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,BRAEBURN,00000000,STATE,,9000,NEVADA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
72,41,,00,,,00,                 (D),,UNITED STATES,41,OREGON,YEAR,OR,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, BRAEBURN, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,BRAEBURN,00000000,STATE,,9000,OREGON,2016-01-31 00:00:00.000,,ORGANIC,CROPS
73,49,,00,,,00,                 (D),,UNITED STATES,49,UTAH,YEAR,UT,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, BRAEBURN, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,BRAEBURN,00000000,STATE,,9000,UTAH,2016-01-31 00:00:00.000,,ORGANIC,CROPS
74,53,,00,,,00,170,,UNITED STATES,53,WASHINGTON,YEAR,WA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,11.7,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, BRAEBURN, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,BRAEBURN,00000000,STATE,,9000,WASHINGTON,2016-01-31 00:00:00.000,,ORGANIC,CROPS
84,06,,00,,,00,                 (D),,UNITED STATES,06,CALIFORNIA,YEAR,CA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, CAMEO, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,CAMEO,00000000,STATE,,9000,CALIFORNIA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
85,08,,00,,,00,                 (D),,UNITED STATES,08,COLORADO,YEAR,CO,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, CAMEO, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,CAMEO,00000000,STATE,,9000,COLORADO,2016-01-31 00:00:00.000,,ORGANIC,CROPS
86,19,,00,,,00,                 (D),,UNITED STATES,19,IOWA,YEAR,IA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, CAMEO, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,CAMEO,00000000,STATE,,9000,IOWA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
87,26,,00,,,00,                 (D),,UNITED STATES,26,MICHIGAN,YEAR,MI,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, CAMEO, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,CAMEO,00000000,STATE,,9000,MICHIGAN,2016-01-31 00:00:00.000,,ORGANIC,CROPS
88,42,,00,,,00,                 (D),,UNITED STATES,42,PENNSYLVANIA,YEAR,PA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, CAMEO, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,CAMEO,00000000,STATE,,9000,PENNSYLVANIA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
89,49,,00,,,00,                 (D),,UNITED STATES,49,UTAH,YEAR,UT,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, CAMEO, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,CAMEO,00000000,STATE,,9000,UTAH,2016-01-31 00:00:00.000,,ORGANIC,CROPS
90,53,,00,,,00,74,,UNITED STATES,53,WASHINGTON,YEAR,WA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,19.7,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, CAMEO, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,CAMEO,00000000,STATE,,9000,WASHINGTON,2016-01-31 00:00:00.000,,ORGANIC,CROPS
98,06,,00,,,00,                 (D),,UNITED STATES,06,CALIFORNIA,YEAR,CA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, CRIPPS PINK, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,CRIPPS PINK,00000000,STATE,,9000,CALIFORNIA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
99,26,,00,,,00,                 (D),,UNITED STATES,26,MICHIGAN,YEAR,MI,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, CRIPPS PINK, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,CRIPPS PINK,00000000,STATE,,9000,MICHIGAN,2016-01-31 00:00:00.000,,ORGANIC,CROPS
100,53,,00,,,00,559,,UNITED STATES,53,WASHINGTON,YEAR,WA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,12.6,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, CRIPPS PINK, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,CRIPPS PINK,00000000,STATE,,9000,WASHINGTON,2016-01-31 00:00:00.000,,ORGANIC,CROPS
104,04,,00,,,00,                 (D),,UNITED STATES,04,ARIZONA,YEAR,AZ,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, FUJI, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,FUJI,00000000,STATE,,9000,ARIZONA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
105,06,,00,,,00,283,,UNITED STATES,06,CALIFORNIA,YEAR,CA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,13.5,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, FUJI, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,FUJI,00000000,STATE,,9000,CALIFORNIA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
106,08,,00,,,00,13,,UNITED STATES,08,COLORADO,YEAR,CO,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,31,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, FUJI, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,FUJI,00000000,STATE,,9000,COLORADO,2016-01-31 00:00:00.000,,ORGANIC,CROPS
107,13,,00,,,00,                 (D),,UNITED STATES,13,GEORGIA,YEAR,GA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, FUJI, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,FUJI,00000000,STATE,,9000,GEORGIA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
108,26,,00,,,00,                 (D),,UNITED STATES,26,MICHIGAN,YEAR,MI,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, FUJI, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,FUJI,00000000,STATE,,9000,MICHIGAN,2016-01-31 00:00:00.000,,ORGANIC,CROPS
