,Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
7043,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN, FIBER - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7044,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN, FLORAL - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7045,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,LETTUCE,"LETTUCE, HEAD - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"30,200",
7046,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,LETTUCE,"LETTUCE, LEAF - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"9,300",
7047,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,LETTUCE,"LETTUCE, ROMAINE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"24,900",
7048,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,MELONS,"MELONS, CANTALOUP - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7049,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,MELONS,"MELONS, WATERMELON - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,100",
7050,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,SPINACH,SPINACH - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"12,200",
7051,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"37,000",
7052,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"37,000",
7053,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"830,000",
7054,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,000",
7055,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"505,000",
7056,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"505,000",
7057,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,072,000",
7058,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,HAY,HAY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,162,000",
7059,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA) - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,160,000",
7060,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,HAY,"HAY, ALFALFA - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,000",
7061,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7062,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN, FIBER - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7063,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN, FLORAL - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7064,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,OATS,OATS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,000",
7065,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"34,000",
7066,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,RICE,RICE - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,416,000",
7067,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,RICE,"RICE, LONG GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,215,000",
7068,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,RICE,"RICE, MEDIUM GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"200,000",
7069,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,RICE,"RICE, SHORT GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,000",
7070,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,950,000",
7071,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"165,000",
7072,SURVEY,2023,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"165,000",
7073,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,ARTICHOKES,ARTICHOKES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,300",
7074,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,ASPARAGUS,ASPARAGUS - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),
7075,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BARLEY,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"22,000",
7076,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"15,600",
7077,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, BLACK - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7078,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, BLACKEYE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,400",
7079,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, CRANBERRY - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7080,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, DARK, RED, KIDNEY - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7081,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, LIMA, BABY - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,600",
7082,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, LIMA, LARGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,000",
7083,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, OTHER, NOT LISTED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,600",
7084,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, PINK - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7085,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, PINTO - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7086,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BEANS,"BEANS, SNAP - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"6,800",
7087,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,100",
7088,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,BROCCOLI,BROCCOLI - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"89,500",
7089,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,CABBAGE,CABBAGE - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"16,500",
7090,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,CARROTS,CARROTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"53,000",
7091,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,CAULIFLOWER,CAULIFLOWER - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"37,500",
7092,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,CELERY,CELERY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"27,300",
7093,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,CHICKPEAS,CHICKPEAS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"3,000",
7094,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,CHICKPEAS,"CHICKPEAS, LARGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7095,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,CHICKPEAS,"CHICKPEAS, SMALL - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7096,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"40,000",
7097,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"350,000",
7098,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"94,800",
7099,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,COTTON,"COTTON, PIMA - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"82,000",
7100,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"12,800",
7101,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,CUCUMBERS,CUCUMBERS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"7,000",
7102,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,044,000",
7103,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,GARLIC,GARLIC - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"26,600",
7104,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,HAY,HAY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"830,000",
7105,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA) - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"350,000",
7106,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,HAY,"HAY, ALFALFA - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"480,000",
7107,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"990,000",
7108,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE, (EXCL ALFALFA) - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"480,000",
7109,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE, ALFALFA - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"510,000",
7110,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,HAYLAGE,HAYLAGE - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"210,000",
7111,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,HAYLAGE,"HAYLAGE, (EXCL ALFALFA) - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"150,000",
7112,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,HAYLAGE,"HAYLAGE, ALFALFA - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"60,000",
7113,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,900",
7114,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN, FIBER - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7115,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN, FLORAL - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,210",
7116,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,LETTUCE,"LETTUCE, HEAD - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"91,500",
7117,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,LETTUCE,"LETTUCE, LEAF - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"62,300",
7118,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,LETTUCE,"LETTUCE, ROMAINE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"106,400",
7119,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,MELONS,"MELONS, CANTALOUP - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"24,500",
7120,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,MELONS,"MELONS, HONEYDEW - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"8,400",
7121,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,MELONS,"MELONS, WATERMELON - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"12,500",
7122,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,OATS,OATS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,000",
7123,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,ONIONS,"ONIONS, DRY - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"40,100",
7124,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,PEPPERS,"PEPPERS, BELL - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"11,000",
7125,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,PEPPERS,"PEPPERS, CHILE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,100",
7126,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"22,800",
7127,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,100",
7128,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,RASPBERRIES,RASPBERRIES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,300",
7129,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,RICE,RICE - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"513,000",
7130,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,RICE,"RICE, LONG GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"11,000",
7131,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,RICE,"RICE, MEDIUM GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"467,000",
7132,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,RICE,"RICE, SHORT GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"35,000",
7133,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,SAFFLOWER,SAFFLOWER - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"21,500",
7134,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,SPINACH,SPINACH - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"52,900",
7135,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,SQUASH,SQUASH - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"6,200",
7136,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"42,700",
7137,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"22,700",
7138,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"28,000",
7139,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,SUNFLOWER,"SUNFLOWER, NON-OIL TYPE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,500,
7140,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,SUNFLOWER,"SUNFLOWER, OIL TYPE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"27,500",
7141,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,SWEET CORN,SWEET CORN - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"22,100",
7142,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,SWEET POTATOES,SWEET POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"19,000",
7143,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"271,900",
7144,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"97,000",
7145,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"17,000",
7146,SURVEY,2023,YEAR,,STATE,CALIFORNIA,6.0,,,,,,,0,,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"80,000",
7147,SURVEY,2023,YEAR,,STATE,COLORADO,8.0,,,,,,,0,,BARLEY,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"52,000",
7148,SURVEY,2023,YEAR,,STATE,COLORADO,8.0,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"28,900",
